favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
38,Twitter Web Client,Connect with President Obama in a Hangout Road Trip Jan 31. Submit your q's for a chance to join http://t.co/GHIbJzGdvt #AskObama2014,,False,Thu Jan 23 16:57:46 +0000 2014,66,426398361395011584
151,Twitter Web Client,Build with Chrome: Let your imagination run wild w/ trillions of @LEGO bricks &amp; the web http://t.co/sRMfCb43oV cc: @ChromeExp,,False,Tue Jan 28 16:52:16 +0000 2014,202,428208918725021696
80,Twitter Web Client,Don't let your New Year's resolutions pass you by: Set reminders with the #GoogleSearch app http://t.co/QSP046jP4s,,False,Thu Jan 02 22:37:20 +0000 2014,91,418873671264919552
109,Twitter Web Client,Chromebox for meetings: connect w/ your co-workers face-to-face in simpler &amp; better HD video meetings http://t.co/nEBmW5X7SG,,False,Thu Feb 06 19:29:29 +0000 2014,180,431509973944631296
48,Twitter Web Client,One more day to tell us: what do you &lt;3? Share what matters to you &amp; you could receive a sweet Nexus prize http://t.co/PReaAquNah #iheartred,,False,Mon Feb 10 19:25:30 +0000 2014,41,432958522834157568
48,Wildfire Suite,"Each week @GoogleforEntrep releases a new business, design or technical video class with friends @GA. Watch: http://t.co/icDBKsUKGy",,False,Wed Jan 29 19:00:07 +0000 2014,42,428603480602075136
32,Wildfire Suite,Just a few hours left to submit your application for the Google Journalism Fellowship—deadline is 12 am PST tonight: http://t.co/Dcly0kCOwo,,False,Fri Jan 31 20:00:14 +0000 2014,49,429343384457998336
192,Wildfire Suite,It's time to reform government surveillance. Join us in speaking up to Congress: http://t.co/RKsmb7UuSm #thedaywefightback,,False,Tue Feb 11 16:00:14 +0000 2014,470,433269255564697601
59,Twitter Web Client,Students: get 1-on-1 FAFSA help from @getschooled and @Helpouts by Google in a new partnership announced by @FLOTUS http://t.co/L8QxgyWqzd,,False,Thu Feb 06 23:05:28 +0000 2014,97,431564326969700352
208,Twitter Web Client,Today's U.S. doodle celebrates the 123rd birthday of writer Zora Neale Hurston http://t.co/HOa2kzrfds,,False,Tue Jan 07 17:18:38 +0000 2014,397,420605407787110400
56,Wildfire Suite,"With the latest update to #GoogleSearch on Android, Google Now can automatically display your Airbnb reservations http://t.co/gHvhZ7WVk5",,False,Wed Feb 12 17:45:03 +0000 2014,70,433658021018091520
50,Twitter Web Client,Our latest @GoogleGlass Explorer is building Glassware that he hopes will help firefighters in the field http://t.co/uW3yH6oRP1,,False,Tue Jan 21 17:43:03 +0000 2014,82,425684981969473536
75,Wildfire Suite,"A behind-the-scenes look at how we worked with @ThisAmerLife to create our Valentine's Day doodle, from @TIME: http://t.co/RwqLjxttLG",,False,Fri Feb 14 16:00:15 +0000 2014,94,434356420033908736
41,Twitter Web Client,"Love this at once: get @LanaDelRey's new song ""Once Upon a Dream"" (from @PixarMaleficent) free on @GooglePlay http://t.co/Bgn7FcLQtq",,False,Tue Jan 28 21:34:21 +0000 2014,50,428279908557541376
80,Twitter Web Client,What do you &lt;3? Share your passions for a chance to win a Valentine's Day treat: a new red Nexus 5 http://t.co/PReaAquNah #iHeartRed,,False,Tue Feb 04 21:42:17 +0000 2014,94,430818617806954497
325,Twitter Web Client,"Celebrating Martin Luther King, Jr. Day in today's doodle http://t.co/toEeHuvrfu",,False,Mon Jan 20 19:12:47 +0000 2014,439,425345177947869184
49,Twitter Web Client,.@GoogleAtWork asked you for your 2014 #WorkResolutions. Get inspired by what people shared: http://t.co/ASCAhIDjzB,,False,Fri Jan 10 19:07:26 +0000 2014,48,421719952886751232
49,Twitter Web Client,Not all of us can be in Asia to celebrate the Lunar New Year. But you can take a virtual trip thanks to @GoogleMaps http://t.co/sy5k1ReX0W,,False,Thu Jan 30 23:23:53 +0000 2014,81,429032247392366592
40,Twitter Web Client,"For a Crisis Map &amp; updates on the winter storm in the southeast U.S., tune in to our Crisis Response team @GoogleCR http://t.co/zdOMOhaNDz",,False,Thu Feb 13 17:10:41 +0000 2014,61,434011756940124161
31,Wildfire Suite,"When you’re snowed in, treat yourself to take-out. Just ask #GoogleSearch: http://t.co/QNGVuTbjnR",,False,Thu Jan 23 19:15:05 +0000 2014,38,426432921432752128
81,Twitter Web Client,Kickoff is almost here! Check out the players who are trending now on #googlesearch http://t.co/FdvhQIpHWk,,False,Sun Feb 02 22:42:49 +0000 2014,94,430109077373337600
82,Twitter Web Client,"Celebrating DevArt—art, made with code—in an interactive gallery at the Barbican. Visit http://t.co/rt9EE7WEWq to learn more &amp; join in",,False,Wed Feb 05 17:02:07 +0000 2014,88,431110498352787456
40,Wildfire Suite,Cold outside? Keep your fingers toasty inside your gloves w/ voice commands on the #GoogleSearch app http://t.co/x35oeOSj7Q,,False,Tue Feb 04 14:00:06 +0000 2014,41,430702304028016640
156,Wildfire Suite,"""It always seems impossible until it’s done."" -Mandela. Good luck in all your searches this year. http://t.co/LEfjHtyCYi #Zeitgeist2013",,False,Wed Jan 01 18:00:12 +0000 2014,251,418441541938860032
190,Wildfire Suite,The Internet is awesome for creativity and we’re fighting to keep it that way: http://t.co/b4lOQ4udpc #SOPA http://t.co/E7kHtfpEyT,,False,Fri Jan 17 18:00:10 +0000 2014,321,424239738456145920
72,Twitter Web Client,When did Thrash Metal bow down to Hair Metal? Explore music history with the Music Timeline from @GoogleResearch http://t.co/RfH3fG29yD,,False,Fri Jan 17 19:04:41 +0000 2014,101,424255974388404224
49,Twitter Web Client,70+ partners in 125+ countries: get the Google for Entrepreneurs 2013 year in review http://t.co/D9zk3tUfzg,,False,Mon Jan 06 18:46:45 +0000 2014,59,420265193919090688
80,Twitter Web Client,“Will I need an umbrella this weekend?” Just ask #GoogleSearch http://t.co/vayS5Yp4li,,False,Wed Feb 05 23:53:32 +0000 2014,84,431214038270226433
36,Twitter Web Client,"Our Valentine's Day gift to you: a way out of the doghouse. Ask #GoogleSearch for last-minute flowers, sweets &amp; more http://t.co/DcPKH12vNW",,False,Thu Feb 13 18:12:02 +0000 2014,35,434027196517068800
52,Twitter Web Client,Never miss opening weekend again: ask #GoogleSearch when movies are going to be released &amp; get a reminder too http://t.co/ozg0PNCZEQ,,False,Thu Jan 16 23:41:47 +0000 2014,54,423963321956450304
44,Twitter Web Client,"You know what they say: the future's so bright, you gotta wear... 4 new frames + 2 new shades for @googleglass http://t.co/ESxMS8Ad2R",,False,Tue Jan 28 19:00:08 +0000 2014,67,428241098561970176
108,Twitter Web Client,Students ages 13-18: it's your turn to change the world. The 2014 Google Science Fair starts today http://t.co/9gkitOPj7s,,False,Wed Feb 12 16:19:15 +0000 2014,226,433636426870059008
59,Wildfire Suite,"Welcome Google for Entrepreneurs to Twitter! Follow @GoogleForEntrep for articles, events, classes &amp; more entrepreneurship resources",,False,Tue Jan 28 23:00:05 +0000 2014,106,428301482501615616
122,Twitter Web Client,Paper lanterns are lighting up Asia for Lunar New Year. See the celebrations on @googlemaps http://t.co/Uy2SYkFcjT http://t.co/GJRlTC7ag5,,False,Fri Feb 14 18:02:17 +0000 2014,113,434387132359012353
80,Twitter Web Client,10 days left to apply for a Google Journalism Fellowship: http://t.co/QUv5eJTeKt. Hear from a 2013 Fellow: http://t.co/aCcEvFQrJU,,False,Tue Jan 21 21:04:41 +0000 2014,89,425735726395691008
55,Twitter Web Client,Google RISE Awards: $1.5M to 40 organizations providing girls/underrepresented students w/ CS programs http://t.co/D4x32bWO7p,,False,Mon Feb 03 20:04:59 +0000 2014,87,430431742281797632
51,Wildfire Suite,Each week on our show we choose a theme...today's theme: love. Ira Glass talks to @BuzzFeed about today's doodle http://t.co/Bin0S8HnW3,,False,Fri Feb 14 19:00:15 +0000 2014,43,434401719892869120
81,Wildfire Suite,Click the candy hearts in our Valentine's Day doodle to hear stories of love from the @ThisAmerLife team: http://t.co/1juYtOdv3Q,,False,Fri Feb 14 15:00:17 +0000 2014,149,434341330115121152
31,Wildfire Suite,"From @GoogleforEdu this week: 1000s of K-12 books in @GooglePlay for Education, more devices &amp; new teacher resources http://t.co/2MAnlHbXal",,False,Fri Jan 31 16:30:08 +0000 2014,38,429290512861110272
32,Twitter Web Client,"For all your NFL playoff questions, #GoogleSearch has answers http://t.co/q1xe270NFL",,False,Thu Jan 09 23:38:02 +0000 2014,37,421425665020162048
85,Twitter Web Client,"Aww, love you too @googlenexus. My mp&lt;3 beats for you @GooglePlay. Happy Valentine's Day! http://t.co/UQBuMqOdXx http://t.co/Rax8ZBN1Fs",googlenexus,False,Fri Feb 14 21:02:09 +0000 2014,89,434432397216456704
349,Twitter Web Client,"Today's U.S. doodle celebrates Harriet Tubman, who led hundreds of slaves to freedom on the Underground Railroad http://t.co/lq5GmPVHOL",,False,Sat Feb 01 19:12:11 +0000 2014,504,429693682439041024
97,Twitter Web Client,#Doodle4Google is open and we're ready for K-12 students to let their imaginations to run free! Start doodling: http://t.co/R2JBFd7UF1,,False,Tue Feb 04 17:17:37 +0000 2014,206,430752010799837184
159,Twitter Web Client,"After he returned the post-halftime kickoff for a touchdown, searches for Percy Harvin spiked to 33,000+ per minute at 8:32 ET #GoogleSearch",,False,Mon Feb 03 01:45:11 +0000 2014,399,430154968864018432
78,Twitter Web Client,"Today, for the first time, our report on gov’t requests for user info encompasses all of the requests we receive http://t.co/yzawah2wbf",,False,Mon Feb 03 18:08:57 +0000 2014,153,430402544783728640
38,Wildfire Suite,"Hearing wedding bells after the holiday ""engagement season""? Tips from us on how to plan &amp; celebrate your big day http://t.co/muspV5tI8P",,False,Thu Jan 30 17:30:07 +0000 2014,37,428943218055843840
104,Twitter Web Client,"Happy birthday to Dian Fossey, primatologist who wrote ""Gorillas in the Mist"" based on years of study in Rwanda http://t.co/uk0REp14Jr",,False,Thu Jan 16 17:37:35 +0000 2014,135,423871669543792640
37,Wildfire Suite,"In 30 minutes, tune in to watch President Obama’s first-ever Presidential Hangout Road Trip live from the @WhiteHouse http://t.co/jCrbHYjgUq",,False,Fri Jan 31 18:30:06 +0000 2014,72,429320701078929408
158,Wildfire Suite,Applying for a job—or just helping a friend polish up their résumé? Images in #GoogleSearch can help: http://t.co/7dgX4A8NXR,,False,Thu Jan 30 16:00:14 +0000 2014,57,428920597843042304
80,Twitter Web Client,"How the Doodle team finds creative inspiration, in our latest video for #doodle4google: http://t.co/4AqkYU8ZY4",,False,Thu Feb 13 19:39:22 +0000 2014,72,434049174854565888
142,Twitter Web Client,Many people turned to #GoogleSearch to learn more about the #SOTU. See the top terms: http://t.co/sCHxVGXJuQ http://t.co/sg8JeFc3bN,,False,Wed Jan 29 04:41:28 +0000 2014,265,428387393805099009
279,Twitter Web Client,We've just announced an agreement to acquire @nest: http://t.co/NNIGM1BLTe,,False,Mon Jan 13 21:15:39 +0000 2014,724,422839381385162752
98,Twitter Web Client,Investing $75M in a Texas wind farm - our 2nd renewable energy investment in the state &amp; 15th overall http://t.co/XuRUfpppc5,,False,Tue Jan 14 17:17:38 +0000 2014,122,423141869971718144
308,Twitter Web Client,"With Seattle up 36-0, a look at the top trending #GoogleSearch terms from the game so far http://t.co/b1KtrVoiV0",,False,Mon Feb 03 02:07:48 +0000 2014,586,430160660324810752
63,Twitter Web Client,Google Translate's engineering director discusses how important data is to translation quality http://t.co/4CinsLKAM4 #datainnovation,,False,Fri Jan 24 18:36:44 +0000 2014,64,426785655599792128
713,Wildfire Suite,Happy New Year! We hope you have a wonderful 2014. http://t.co/5PpkLzEndU,,False,Wed Jan 01 08:00:08 +0000 2014,792,418290529399754752
30,Wildfire Suite,"To #ShopTheHangout with Bollywood star @iHrithik and @myntra on Monday, RSVP: http://t.co/sThEDu9Bmr",,False,Fri Jan 17 07:00:09 +0000 2014,31,424073639903100928
114,Twitter Web Client,"Say to your Android phone “Ok Google, call Mom” &amp; #GoogleSearch will pull up the right contact—no more scrolling. http://t.co/EbKW7QNxDQ",,False,Tue Feb 11 18:16:35 +0000 2014,190,433303567084961792
149,Twitter Web Client,Hang in there—most of the issues w/ Google services have been resolved. Check the Apps Status Dashboard for updates: http://t.co/p9ChqMyEUn,,False,Fri Jan 24 20:33:25 +0000 2014,402,426815022254157824
67,Wildfire Suite,Welcome Google's Crisis Response team to Twitter! Follow @GoogleCR for ongoing updates on tools &amp; response efforts,,False,Fri Jan 17 02:00:08 +0000 2014,74,423998139939704832
35,Twitter Web Client,"Meet the 12 small businesses receiving #MissionMainSt Grants from @ChaseSmallBiz, w/ Google as premier sponsor http://t.co/zqakxNHoig",,False,Tue Jan 21 16:02:50 +0000 2014,39,425659761216868352
50,Twitter Web Client,Can #GoogleSearch predict who will take home a statue at the Golden Globes? See the predictions: http://t.co/YZJHLnMQqp,,False,Fri Jan 10 23:08:46 +0000 2014,50,421780685871783936
26,Wildfire Suite,Can Google predict which artists take home top prizes at @TheGRAMMYs this weekend? Our official guesses: http://t.co/j9WT1cLMwx,,False,Thu Jan 23 18:00:12 +0000 2014,42,426414076148072448
79,Wildfire Suite,"Watch @Disney's ""Blank,"" an adorable, animated love story available exclusively (and free!) on @GooglePlay just in time for Valentine's Day",,False,Thu Feb 13 21:00:12 +0000 2014,134,434069520530292737
172,Twitter Web Client,"Tonight’s top #GoogleSearch terms, from [russell wilson] to [puppy bowl] http://t.co/rpuIYp5647 http://t.co/vfsQMetlWE",,False,Mon Feb 03 04:09:46 +0000 2014,269,430191356720340994
194,Twitter Web Client,The latest project from Google[x]: a smart contact lens that we hope could someday help people with diabetes http://t.co/sh6xEi0z93,,False,Fri Jan 17 00:02:24 +0000 2014,545,423968511044485120
807,Twitter Web Client,We’ve just signed an agreement to sell Motorola to Lenovo for $2.91 billion: http://t.co/PKDXrTq6Oe http://t.co/vLcDBXlvIh,,False,Wed Jan 29 22:18:49 +0000 2014,3735,428653486490664960
36,Twitter Web Client,"Today at 12pm PST, hear the true stories behind @MonumentsMovie in an #ArtTalk from @googleart &amp; @LegionofHonor http://t.co/ApkuqJHpSU",,False,Fri Feb 07 16:14:29 +0000 2014,42,431823286993829889
